id,matchup,year,winner,runnerup,finalscore,easternConfRunnerUp,westernConfRunnerUp
0,"2023/24 — Boston Celtics v Dallas Mavericks",2023/24,"Boston Celtics","Dallas Mavericks",4/1,"Indiana Pacers","Minnesota Timberwolves"
1,"2022/23 — Denver Nuggets v Miami Heat",2022/23,"Denver Nuggets","Miami Heat",4/1,"Boston Celtics","Los Angeles Lakers"
2,"2021/22 — Golden State Warriors v Boston Celtics",2021/22,"Golden State Warriors","Boston Celtics",4/2,"Miami Heat","Dallas Mavericks"
3,"2020/21 — Milwaukee Bucks v Phoenix Suns",2020/21,"Milwaukee Bucks","Phoenix Suns",4/2,"Atlanta Hawks","Los Angeles Clippers"
4,"2019/20 — Los Angeles Lakers v Miami Heat",2019/20,"Los Angeles Lakers","Miami Heat",4/2,"Boston Celtics","Denver Nuggets"
5,"2018/19 — Toronto Raptors v Golden State Warriors",2018/19,"Toronto Raptors","Golden State Warriors",4/2,"Milwaukee Bucks","Portland Trail Blazers"
6,"2017/18 — Golden State Warriors v Cleveland Cavaliers",2017/18,"Golden State Warriors","Cleveland Cavaliers",4/0,"Boston Celtics","Houston Rockets"
7,"2016/17 — Golden State Warriors v Cleveland Cavaliers",2016/17,"Golden State Warriors","Cleveland Cavaliers",4/1,"Boston Celtics","San Antonio Spurs"
8,"2015/16 — Cleveland Cavaliers v Golden State Warriors",2015/16,"Cleveland Cavaliers","Golden State Warriors",4/3,"Toronto Raptors","Oklahoma City Thunder"
9,"2014/15 — Golden State Warriors v Cleveland Cavaliers",2014/15,"Golden State Warriors","Cleveland Cavaliers",4/2,"Atlanta Hawks","Houston Rockets"
10,"2013/14 — San Antonio Spurs v Miami Heat",2013/14,"San Antonio Spurs","Miami Heat",4/1,"Indiana Pacers","Oklahoma City Thunder"
11,"2012/13 — Miami Heat v San Antonio Spurs",2012/13,"Miami Heat","San Antonio Spurs",4/3,"Indiana Pacers","Memphis Grizzlies"
12,"2011/12 — Miami Heat v Oklahoma City Thunder",2011/12,"Miami Heat","Oklahoma City Thunder",4/1,"Boston Celtics","San Antonio Spurs"
13,"2010/11 — Dallas Mavericks v Miami Heat",2010/11,"Dallas Mavericks","Miami Heat",4/2,"Chicago Bulls","Oklahoma City Thunder"
14,"2009/10 — Los Angeles Lakers v Boston Celtics",2009/10,"Los Angeles Lakers","Boston Celtics",4/3,"Orlando Magic","Phoenix Suns"
15,"2008/09 — Los Angeles Lakers v Orlando Magic",2008/09,"Los Angeles Lakers","Orlando Magic",4/1,"Cleveland Cavaliers","Denver Nuggets"
